date,abstract,rating,workLifeBalance,cultureAndValues,careerOpportunities,compensationAndBenefits,seniorManagement,authorJobTitle,tenure,pro,con
"June 3, 2020",Overall a good place to work.,3.0,2.0,2.0,,,,Current Employee - Manager TAC-3,I have been working at Bharti Airtel full-time for more than 3 years,"A great place to learn, live network can be used as a testbed.",No work life balance & less payout as per industry.
"May 19, 2020",Good,4.0,2.0,4.0,5.0,3.0,2.0,Current Employee - Recruiter,I have been working at Bharti Airtel full-time,"Excellent work culture, performance driven","Lean work culture, no work life balance"
"May 14, 2020",awesome,5.0,4.0,4.0,5.0,5.0,4.0,Current Employee - SDEII,I have been working at Bharti Airtel full-time for more than a year,"learning, growth, DTH, gym, net, postpaid, health insurance, i-learn, fun loving",I only focus on pros. I don't find high rated cons.
"May 13, 2020",Awesome work,4.0,5.0,5.0,4.0,2.0,3.0,Current Employee - Call Center Representative,I have been working at Bharti Airtel full-time for more than 3 years,good culture. Friendly colleagues. Awesome workspace.,Career progression is tough. Unstable
"May 12, 2020",Feedback,5.0,5.0,5.0,4.0,4.0,5.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Great Learning experience on various technologies,slower progression in terms of career
"May 22, 2020",Salary and Benefits,3.0,2.0,4.0,3.0,3.0,3.0,Current Employee - FRM,I have been working at Bharti Airtel full-time for more than 5 years,Lot to Learn Good Management,Long working hours Low perks
"May 24, 2020",c,3.0,,,,,,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,very good leadership very effective for the career,timing work is not up to the mark need to be fexibal
"May 24, 2020",Nice place to work,3.0,2.0,4.0,4.0,4.0,4.0,Former Employee - Data Analyst,I worked at Bharti Airtel full-time for more than a year,Airtel Networks Limited is certainly a great place to work considering working there feels like you are part of one big family. The management listen to employees and compensation is quite good and competitive. Also you get a 13th month salary and revenue share if you have a good rating in the financial year. My advise is to be the best version of you and strive for excellence in everything you do and ensure your manager recognizes your good work.,"Your managers feedback on your performance highly determines how far you can go in the organization. If for any reason your manager doesn't like you, expect you would not get a good rating and you would be out the door in no time. Also expect you would always be overworked and stressed considering you would be assigned task and responsibility of 3 personnel. If you are a high performer who can work long hours, you have nothing to worry about here."
"May 4, 2020",Team work is a must.,5.0,4.0,5.0,4.0,5.0,4.0,,I have been working at Bharti Airtel ,They pay on time cos it's not really an issue,Quite stressful but the reason for stress is reasonable
"May 4, 2020",Awesome Service,5.0,4.0,5.0,5.0,5.0,4.0,Current Employee - Promoter,I have been working at Bharti Airtel full-time,Airtel is big telecom industry.,I'm happy to service in this company.
"June 5, 2020",No work culture at all,1.0,3.0,1.0,3.0,2.0,1.0,Current Employee - Software Development Engineer,I have been working at Bharti Airtel full-time for less than a year,latest technologies are being used so learning is comparatively better,Seniors treat the juniors as they are their personal servants  Mismanagement  Work environment is very depressing here  No work culture  No human resource management system  We need to fight someone everyday due to numerous reasons and no action is taken against anyone and cannot complaint anyone
"May 13, 2020",Opportunist,3.0,1.0,2.0,3.0,3.0,5.0,Former Employee - Zsm,I worked at Bharti Airtel full-time for more than 5 years,"Good smart top Bosses, good exit formalities experience","Hire and Fire approach, but indirect"
"May 11, 2020",Good Company But With Too Much Internal Politics,3.0,1.0,2.0,5.0,4.0,2.0,Former Employee - Manager,I worked at Bharti Airtel full-time for more than 5 years,Employee Friendly Policies on Paper  Decent increment  Good Cafeteria and food  All facilities within office premises  Good infrastructure,"Bossy Culture  Too much internal politics  No work-life balance  Employee policies only on paper, HR find very hard to implement due to internal politics in departments"
"April 24, 2020",Recommended,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Senior,I have been working at Bharti Airtel full-time,"1) Startup type environment, great working conditions.",No cons as of now
"April 21, 2020","Great work place, Learn and implement project management skills.",5.0,3.0,4.0,5.0,5.0,4.0,Current Employee - Vice President,I have been working at Bharti Airtel full-time for more than 10 years,Great work place and delegation of powers,working hours in organization are long
"May 4, 2020",Job review,2.0,1.0,1.0,1.0,1.0,1.0,Current Employee - Territory Sales Manager,I have been working at Bharti Airtel full-time for less than a year,Lot too learn......minimum you should work for 6 momhs to 1 year,No work life balance....employees are treated as slaves....I don't think MBA is even required for this job
"April 18, 2020",Mixed Feelings,4.0,3.0,3.0,4.0,4.0,3.0,Former Employee - Product,I worked at Bharti Airtel full-time for more than a year, Conglomerate with lots of problems to solve for a large customer base, Internal politics and hierarchies are a challenge
"May 2, 2020",Great company to work,3.0,4.0,4.0,4.0,3.0,3.0,Current Employee - Software Engineer,I have been working at Bharti Airtel full-time,Nice working environment and culture,Nothing To be reviewd regarding cobs of this company
"April 17, 2020",nil,4.0,3.0,3.0,3.0,3.0,3.0,Former Employee - Technical,I worked at Bharti Airtel full-time for more than a year,good company no commenct. all ok,nothing to comment. all ok
"April 16, 2020",Good company to begin,5.0,4.0,3.0,4.0,4.0,3.0,Former Employee - Systems Engineer,I worked at Bharti Airtel full-time for more than a year,"Free communication, good working culture & ability to learn.","management and shifts, factory shifts, coordination in dept."
"April 28, 2020",Exposure is good but not a good organization for growth as well employee benefits,2.0,2.0,2.0,3.0,1.0,1.0,Current Employee - Network Engineer,I have been working at Bharti Airtel full-time for more than 3 years,Good exposure of ISP environment.,Too much workload without allowances and benefits
"April 12, 2020",Good  company,4.0,3.0,3.0,4.0,3.0,3.0,Current Employee - National Head Own Retail Operations and Roll Out,I have been working at Bharti Airtel full-time,Fast discussion making execution overnight changes are Trates of this company,Disparity .... doesnt have repository for knowledge well
"April 24, 2020",Africa office,2.0,3.0,1.0,2.0,4.0,1.0,Current Employee - Manager,I have been working at Bharti Airtel full-time for more than 5 years,The remuneration and benefits are good and most people are good,"The current Africa CEO has created a culture of fear in the Organization as he is often heard shouting and threatening senior managers in plain view of everyone. Staff members are always looking at ways of ""covering their backs"" and the turn over is quite high. Its also very difficult to get promoted in the organization. There is a preference on recruiting from outside when a vacancy arises."
"April 6, 2020",Good for fresher's.,4.0,3.0,3.0,4.0,3.0,3.0,Current Employee - Network Support Engineer,I have been working at Bharti Airtel full-time,Good learning for freshers but only for 1 year.,Low salary for executive level.
"April 8, 2020",Honour to work in Airtel,4.0,4.0,5.0,3.0,4.0,3.0,Current Employee - Territory Sales Manager,I have been working at Bharti Airtel full-time for more than 5 years,Friendly work environment and Career,"Activities in urban areas, Rural"
"April 8, 2020",Good perks but frequent redundancies,4.0,4.0,2.0,3.0,5.0,2.0,Former Employee - Compliance,I worked at Bharti Airtel full-time for more than 5 years,"Good work hours, professionals, generally good pay and perks","Being a foreign owned company tend to want to copy paste what works elsewhere, Head office has too many expats at expense of local talent, job insecurity due to frequent redundancies"
"April 6, 2020",Awesome,5.0,5.0,4.0,4.0,4.0,4.0,Former Employee - Data Analyst,I worked at Bharti Airtel full-time for more than a year,They have a very good work culture,The work is too demanding at times
"April 4, 2020",Best Indian telco,5.0,4.0,5.0,4.0,4.0,5.0,Current Employee - General Manager,I have been working at Bharti Airtel full-time for more than 10 years,Great places to work for,Work life balance Is missing
"March 30, 2020",Good Experience,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Software Engineer,I have been working at Bharti Airtel full-time for less than a year,Good Environment as of noe,No cons as of now
"March 30, 2020",nice company,4.0,4.0,4.0,4.0,4.0,2.0,Former Employee - Senior Software Engineer,I worked at Bharti Airtel full-time,learning opportunities are great there,nothing i can think of at this time
"March 28, 2020",Good Place to Work at,4.0,4.0,4.0,4.0,4.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than 3 years,Very Good Company and healthy Environment. Takes care of your health and your work. Seniors do hlep their juniors in their work.,We should  always come to office on time.
"May 2, 2020",Need to improve,1.0,1.0,1.0,1.0,1.0,1.0,Former Employee - KYC Analyst,I worked at Bharti Airtel full-time for less than a year,No pros i see here,Everything that concerns staff needs to be fixed
"March 26, 2020",Helpers,4.0,,,,,,Former Employee - Facilities Engineering,I worked at Bharti Airtel part-time for more than 5 years,Good working relationship in my work,No any response that's way .but however
"March 24, 2020",sales Associate,5.0,3.0,5.0,5.0,5.0,5.0,Former Employee - Retail Sales Associate,I worked at Bharti Airtel full-time for more than 10 years,Airtel is the biggest company of india. i'll very lucky if i get job in Airtel,this is the one of the best company give various post  for worker
"April 5, 2020",Great place for people who want to develope career. Pay is not so good,3.0,3.0,4.0,3.0,1.0,3.0,Current Employee - Sales Executive,I have been working at Bharti Airtel full-time for more than a year,A great place to learn how telcos work,Salary is still below the belt
"March 17, 2020",NA,5.0,,,,,,Current Employee - Senior Manager,I have been working at Bharti Airtel full-time,"Good culture, work place, Management","NA, NA, NA,NA, NA NA NA"
"March 25, 2020",,3.0,2.0,3.0,3.0,3.0,2.0,Current Employee - Management Traine,I have been working at Bharti Airtel full-time for less than a year,Switching between different domains of interest,Staying in a role for too long
"March 26, 2020",Sallary Description,3.0,4.0,3.0,3.0,3.0,3.0,Current Employee - Lead Executive Product Engineer,I have been working at Bharti Airtel full-time for more than a year,Good culture and lots of thing to do  resarch and experiments.,Management problem and sallary PLI issue and  2 month's notice period
"March 7, 2020",Great Company,5.0,3.0,4.0,5.0,3.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time for more than 5 years,The detailing of each element is a separate league of its own,"None. Whatever is it now, its for external factors"
"March 4, 2020",best company,4.0,3.0,5.0,5.0,3.0,5.0,Former Employee - Zsm,I worked at Bharti Airtel full-time for more than 3 years,very nice company best telecom company. ethical approach,work life balance is tough
"March 4, 2020",Employee Review,4.0,5.0,5.0,4.0,4.0,4.0,Current Employee - GIS Analyst,I have been working at Bharti Airtel full-time for more than a year,"I have started my career with Airtel as GIS Hub Lead , I have learned lots of good thing & update my career with lots of golden technical  updates.",only concern with Salary & Post Appendix
"March 4, 2020",Top management are very supportive,4.0,5.0,5.0,5.0,3.0,5.0,Former Employee - Territory Sales Manager,I worked at Bharti Airtel full-time for more than 3 years,Everything good specially top management very supportive,Long working hour and daily con call
"March 2, 2020",Good Company to work with,4.0,1.0,4.0,3.0,3.0,3.0,Former Employee - Procurement and Supply Chain Manager,I worked at Bharti Airtel full-time,Lots of opportunities to grow and contribute,No work from home or flexibility
"March 2, 2020",Good place to work.,4.0,2.0,4.0,4.0,4.0,4.0,Former Employee - Software Development Engineer,I worked at Bharti Airtel full-time for more than a year,Get to learn a lot. Extra-curricular activities and sessions. Perks. Gurugram office is great. Good cafeteria. good infrastructure.,Not that I know of.
"March 15, 2020",Company,3.0,2.0,2.0,3.0,4.0,2.0,Former Employee - Senior Manager,I worked at Bharti Airtel full-time for more than 10 years,Good company with full of vision,does take care of thier old employees
